ASSOCIATED SITE,LEG ID,UNIT CONSUMPTION,READING FOR
Luhari-WHTM,1693,65.992,12/30/20
Luhari-WHTM,1692,89.752,12/30/20
Luhari-WHTM,1691,1484.928,12/30/20
"Aerocity, New Delhi",1848,1203.392,12/29/20
Luhari-WHTM,1692,72.892,12/29/20
Luhari-WHTM,1691,1593.28,12/29/20
Luhari-WHTM,1692,229.456,12/28/20
Luhari-WHTM,1691,1454.912,12/28/20
"Aerocity, New Delhi",1848,2288.192,12/27/20
Luhari-WHTM,1692,40.592,12/27/20
Luhari-WHTM,1691,1495.744,12/27/20
"Aerocity, New Delhi",1848,4552.32,12/26/20
Luhari-WHTM,1692,76.612,12/26/20
